Feature name,Scale,missing mechanism,NA treatment,,,,,,,,,,,,,,,,
budget,Ratio,MNAR,Categorize,,,,,,,,,,,,,,,,
popularity,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
runtime,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
revenue,Ratio,MNAR,leave,,,,,,,,,,,,,,,,
keyword_cnt,Ratio,MNAR,remove rows ,,,,,,,,,"
'popularity' 'runtime' 'keyword_cnt' 'sw_collection' 'countries_cnt' 'keywords_cnt' 'actor0_movies_cnt' 'actor0_movies_5y_cnt' 'actor1_movies_5y_cnt' 'actor2_movies_5y_cnt' 'director_movies_5y_cnt' 'depart_Crew' 'depart_Editing' 'depart_Lighting' 'depart_Production' 'depart_Visual_Effects' 'depart_Writing' 'depart_Art_female' 'depart_Camera_female' 'depart_Crew_female' 'depart_Custom_Mkup_female' 'depart_Directing_female' 'depart_Editing_female' 'depart_Production_female' 'depart_Sound_female' 'depart_Visual_Effects_female' 'depart_Writing_female'",,,,,,,
seasonality,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
producers_cnt,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
countries_cnt,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
keywords_cnt,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
actor0_movies_cnt,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
actor0_movies_5y_cnt,Ratio,MNAR,remove rows ,,,,,,,,,budget' 'producers_cnt' 'actor1_movies_cnt' 'actor2_movies_cnt' 'actor0_prev_revenue' 'actor1_prev_revenue' 'actor2_prev_revenue' 'director_movies_cnt' 'depart_Art' 'depart_Camera' 'depart_Custom_Mkup' 'depart_Directing' 'depart_Sound',,,,,,,
actor1_movies_cnt,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
actor1_movies_5y_cnt,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
actor2_movies_cnt,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
actor2_movies_5y_cnt,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
actor0_prev_revenue,Ratio,MNAR,Categorize,,,,,,,,,,,,,,,,
actor1_prev_revenue,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
actor2_prev_revenue,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
director_movies_cnt,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
director_movies_5y_cnt,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Art,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
depart_Camera,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
depart_Crew,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Custom_Mkup,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
depart_Directing,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
depart_Editing,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Lighting,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Production,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Sound,Ratio,MNAR,delete column,,,,,,,,,,,,,,,,
depart_Visual_Effects,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Writing,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Art_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Camera_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Crew_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Custom_Mkup_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Directing_female,Ratio,MNAR,remove rows ,,,,,,,release_date' 'release_year' 'release_month' 'release_day' 'sw_female_actor0' 'sw_female_actor1' 'sw_female_actor2' 'sw_male_actor0' 'sw_male_actor1' 'sw_male_actor2' 'depart_Lighting_female,,,,,,,,,
depart_Editing_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Production_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Sound_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Visual_Effects_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
depart_Writing_female,Ratio,MNAR,remove rows ,,,,,,,,,,,,,,,,
